Date,Number of Models,Percentage of Models
2018-04-28,35,0.875
2018-05-28,52,0.828125
2018-06-28,80,0.83505154
2018-07-28,108,0.8134328
2018-08-28,160,0.85340315
2018-09-28,197,0.85775864
2018-10-28,221,0.8115942
2018-11-28,284,0.84750736
2018-12-28,336,0.8553616
2019-01-28,372,0.8656036
2019-02-28,404,0.86012524
2019-03-28,432,0.85192305
2019-04-28,503,0.8958333
2019-05-28,550,0.89507157
2019-06-28,626,0.8948107
2019-07-28,695,0.8979328
2019-08-28,748,0.89260143
2019-09-28,782,0.88162345
2019-10-28,844,0.9046088
2019-11-28,852,0.8819876
2019-12-28,924,0.8970874
2020-01-28,921,0.87215906
2020-02-28,947,0.8688073
2020-03-28,916,0.8134991
2020-04-27,952,0.8336252
2020-05-27,963,0.81060606
2020-06-27,1024,0.8211708
2020-07-28,1076,0.82388973
2020-08-28,1122,0.8201754
2020-09-28,1162,0.8097561
